+------------+----------+-------------+---+---------------+----------------+--------------------+
|   Symbol   | Net P/L  | Win pct (%) | | | Symbol (col2) | Net P/L (col2) | Win pct (%) (col2) |
| LICHSGFIN  | 6890.31  |    48.65    | | |      VEDL     |    -2382.37    |       41.67        |
|    SAIL    | 8143.07  |    45.45    | | |     DABUR     |    -1401.76    |       38.89        |
|  SBICARD   | 5312.22  |    52.05    | | |     DMART     |    -1494.9     |       38.89        |
|  TIINDIA   | 7902.09  |    44.74    | | |   IDFCFIRSTB  |    2913.79     |       27.27        |
|  HINDZINC  | 6322.92  |    48.61    | | |     NYKAA     |    -2020.39    |       39.34        |
|    NHPC    | 5632.48  |     50.0    | | |   HINDPETRO   |    -1620.64    |       38.24        |
|   CANBK    | 7217.84  |    45.71    | | |   JINDALSTEL  |    -1247.96    |       36.23        |
|   INDIGO   | 4539.22  |    52.38    | | |   ULTRACEMCO  |    -3869.15    |       42.11        |
|  COFORGE   | 5079.96  |    50.68    | | |   TATACONSUM  |    -2744.48    |       39.19        |
|  MAZDOCK   | 8113.43  |    42.86    | | |    HCLTECH    |    -3166.63    |       38.81        |
| TATAMOTORS | 4958.71  |     50.7    | | |     SUZLON    |    1238.16     |       27.59        |
|   ZOMATO   | 6529.79  |    46.48    | | |    PAGEIND    |    -3752.14    |       39.39        |
| TATAELXSI  | 5819.08  |    48.05    | | |     ASTRAL    |    -3093.29    |       36.99        |
| OBEROIRLTY | 6582.19  |    45.95    | | |   FEDERALBNK  |    -3842.86    |        37.5        |
|    M&M     | 4832.09  |    49.37    | | |   MAXHEALTH   |    -2350.44    |       32.81        |
|    GAIL    | 5311.65  |    47.54    | | |   BANKBARODA  |    -3888.03    |       34.78        |
|  BOSCHLTD  | 4313.45  |     50.0    | | |     MARICO    |    -4459.45    |       34.92        |
| BAJAJFINSV | 5049.23  |    48.15    | | |   BRITANNIA   |    -4262.83    |       33.78        |
|     LT     | 4894.05  |    48.53    | | |   ICICIPRULI  |    -6020.73    |       36.62        |
| SUPREMEIND | 3952.43  |     50.6    | | |   PIDILITIND  |    -6298.74    |       36.11        |
|    ABB     | 3624.12  |    51.32    | | |   ASIANPAINT  |    -4948.24    |       32.47        |
| COALINDIA  | 6813.32  |    42.86    | | |      ITC      |    -4572.56    |       31.43        |
|  PETRONET  | 5337.48  |    46.38    | | |      ACC      |    -4753.81    |       30.88        |
|  ESCORTS   | 5462.12  |    46.05    | | |      INFY     |    -6111.4     |       33.78        |
|   JIOFIN   | 5718.56  |    45.31    | | |    EXIDEIND   |    -6930.84    |       34.85        |
|  ICICIGI   | 3784.01  |     50.0    | | |    UNITDSPR   |    -5713.39    |       31.43        |
|   LUPIN    | 4159.43  |    48.68    | | |   BALKRISIND  |    -5539.83    |       30.88        |
|   M&MFIN   | 6336.09  |    43.08    | | |    SBILIFE    |    -6157.67    |       32.26        |
| SOLARINDS  | 2520.95  |    52.56    | | |    ASHOKLEY   |    -7192.61    |       33.33        |
|   WIPRO    | 5557.91  |    44.78    | | |     MARUTI    |    -4983.34    |       26.87        |
|  JUBLFOOD  | 3170.16  |    50.68    | | |      IRB      |    -4728.5     |        20.0        |
|   CIPLA    | 6855.52  |    41.43    | | |      IOB      |    -4096.58    |       11.11        |
|  TVSMOTOR  | 2874.32  |    51.19    | | |   GMRAIRPORT  |    -8663.15    |       22.22        |
|    IDBI    | 6740.34  |    40.54    | | |    MAHABANK   |    -4339.38    |        8.33        |
+------------+----------+-------------+---+---------------+----------------+--------------------+
